average_elo,encoded_pgn
1889.0,878 506 722 481 998 1723 368 1346 1910 350 1411 1230 1857 366 1945 1176 302 995 1713 1713 817 567 455 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1951.5,368 302 998 506 146 995 878 1432 1313 960 246 246 1857 1320 1411 1801 1306 922 817 2020 2061 1873 308 1346 734 1900 1394 186 556 327 836 1231 615 1269 1300 328 884 1349 1910 1176 302 284 231 600 1138 1045 1747 243 140 1191 1077 186 859 330 332 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1899.5,368 506 1614 757 1346 234 998 551 878 111 1857 817 1411 1230 1945 1427 1242 1475 615 560 817 1657 369 289 1725 1160 1160 701 1910 510 1909 1444 1617 1409 1420 35 851 446 581 996 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1907.0,368 1346 1614 740 878 1764 2061 1502 1857 1176 998 995 1036 1462 817 907 171 506 2052 817 1848 117 285 1392 722 481 308 1873 1551 1893 1200 1664 716 1112 528 2061 2047 1300 1141 240 1200 302 1692 421 1946 1154 1597 1522 2020 1725 1421 955 1736 908 725 656 894 1417 741 799 629 770 380 102 662 0 -1 -1 -1 -1
1903.5,368 757 1346 995 1614 42 242 234 998 506 1857 960 862 817 1201 1745 1917 1475 817 1863 2061 1723 618 1392 1264 770 878 1113 722 359 679 783 516 1 1754 1145 568 1191 766 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1892.5,368 506 1614 551 998 111 878 234 1857 817 1036 1801 817 722 1346 328 1124 917 1904 302 752 1910 757 1836 308 1997 1366 1366 118 1737 1501 2014 1420 411 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1952.5,878 995 368 1346 722 757 1306 117 1857 1801 1411 1176 817 1505 369 787 787 1646 851 1300 1264 1904 998 283 1754 1462 118 907 171 328 369 817 499 1888 1416 1917 455 573 366 770 516 1145 2063 1587 1002 2021 1141 356 471 1178 1834 1764 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1885.5,878 757 1857 234 368 787 801 551 1614 111 998 1801 35 995 1036 579 817 350 1183 366 1945 412 528 1657 1112 1863 879 302 1055 1175 1124 1911 1857 1176 1588 1067 862 722 146 709 227 227 1368 1216 880 1910 481 136 242 1045 1009 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1942.0,878 1502 1857 1346 998 473 1313 506 615 1313 28 240 1917 506 947 995 368 1764 851 1873 2061 481 1896 551 146 1952 118 783 947 722 817 812 1747 412 359 1239 679 1205 388 388 880 421 1340 1178 140 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1901.5,878 506 722 481 368 234 1857 551 1917 1502 998 359 679 111 697 812 136 242 1167 1801 915 1872 1467 1176 388 817 1597 350 742 1230 1983 117 1306 381 817 722 1346 302 1614 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1869.5,878 757 1857 995 368 787 801 1863 1411 1801 915 1217 1614 722 998 506 817 960 35 812 308 240 1055 817 892 1764 1893 1551 998 432 361 1505 1725 1952 1312 163 836 1005 615 1011 1834 573 366 1127 1588 1011 742 1454 859 859 1301 757 350 1614 1927 1664 1617 1891 1891 155 770 446 446 374 137 1306 1834 0 -1 -1
1847.5,878 722 1857 1801 1917 770 368 1856 817 1265 1306 214 814 1145 125 1906 841 234 4 506 1154 2020 481 136 42 1657 679 359 862 878 1747 1745 752 186 1432 1230 722 451 879 1109 555 404 1850 1745 118 1517 1462 757 1217 457 1685 1050 15 812 1548 860 967 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
